city_name,latitude,longitude,total_pop
Bosschenhoofd,51.5606,4.54139,2160
Farmsum,53.3167,6.93333,2155
Vogelwaarde,51.3256,3.97028,2138
Boven-Leeuwen,51.8833,5.55,2130
Diever,52.8556,6.3175,2090
Haalderen,51.8867,5.93,2061
Goedereede,51.82,3.98,2050
Dussen,51.7333,4.96667,2050
Kamperland,51.5706,3.7025,2049
Riel,51.5239,5.02167,2040
Westdorpe,51.2311,3.82778,2038
Winssen,51.8833,5.7,2037
Wijnjewoude,53.0561,6.20611,2025
Abbekerk,52.7333,5.01667,2000
West-Vlieland,53.2033,4.88306,2000
Garderen,52.21,5.7,1994
Aalst,51.7833,5.11667,1986
Schagerbrug,52.8,4.76667,1980
Oudehaske,52.9558,5.87222,1980
Schalkwijk,51.9939,5.18722,1973
Heukelum,51.8731,5.07667,1967
Vledder,52.8556,6.21028,1960
Callantsoog,52.8333,4.7,1956
Goudswaard,51.8,4.28333,1956
Gasselternijveen,52.9867,6.84722,1952
Deurningen,52.3067,6.83944,1948
Leusden-Zuid,52.1192,5.40639,1948
's-Heerenhoek,51.4533,3.76944,1939
Saba,17.6325,-63.2375,1933
Sellingen,52.9464,7.15139,1920
Petten,52.7667,4.66667,1900
Gasselte,52.9719,6.79222,1900
Garyp,53.1664,5.97,1894
Groenekan,52.1242,5.14889,1879
Rincon,12.247,-68.318,1875
Opperdoes,52.7667,5.05,1860
Aalden,52.7667,6.71667,1850
Kortgene,51.5583,3.8,1847
Donkerbroek,53.0169,6.23583,1833
Wamel,51.8833,5.46667,1825
Noordeloos,51.9042,4.94167,1816
Marken,52.4583,5.10667,1810
Wanneperveen,52.7,6.13333,1800
Stavenisse,51.5861,4.01222,1798
Twijzelerheide,53.25,6.05,1796
Stompetoren,52.6167,4.81667,1794
Serooskerke,51.5486,3.59528,1791
Ferwert,53.3378,5.82472,1787
Westwoud,52.6833,5.13333,1785
Maaskantje,51.6586,5.37167,1785
Oentsjerk,53.2533,5.89833,1784
Ilpendam,52.4667,4.95,1780
Zwaanshoek,52.3167,4.61667,1780
Scherpenisse,51.5467,4.105,1771
Lewedorp,51.4953,3.74917,1771
Berkhout,52.6419,4.99694,1770
Lonneker,52.2506,6.91194,1770
Grathem,51.1911,5.85861,1770
Deest,51.8833,5.66667,1765
Reeuwijk-Dorp,52.055,4.69083,1765
Wagenborgen,53.2561,6.93222,1765
Nieuwerbrug,52.0769,4.81556,1763
Driebruggen,52.0433,4.79861,1756
Minnertsga,53.2508,5.595,1750
Sexbierum,53.2167,5.48333,1744
Witmarsum,53.1019,5.46722,1735
Langerak,51.9333,4.875,1730
Eelderwolde,53.1833,6.55,1711
Zwammerdam,52.1058,4.72722,1709
Poortvliet,51.5444,4.14417,1706
Nij Beets,53.0697,6.00278,1705
Midwoud,52.7167,5.06667,1703
Drogeham,53.2,6.11667,1700
Saasveld,52.3311,6.80639,1687
Boornbergum,53.0839,6.04556,1681
Scharnegoutum,53.0603,5.67833,1660
Opeinde,53.1331,6.05639,1656
Hoornaar,51.8767,4.94694,1655
Waarder,52.0614,4.8225,1647
Afferden,51.88,5.63472,1640
Biervliet,51.3281,3.68556,1631
Venhorst,51.6083,5.73889,1631
Ophemert,51.8453,5.38417,1630
Bruchem,51.7853,5.23667,1625
Tytsjerk,53.2133,5.91139,1614
Holwerd,53.3667,5.9,1607
Biezelinge,51.4833,3.96667,1605
Dirkshorn,52.75,4.78333,1600
Piershil,51.8,4.31667,1600
Driemond,52.3,5.01667,1600
Renesse,51.7322,3.77306,1583
Oudeschoot,52.9347,5.95472,1580
Oldeberkoop,52.9381,6.13389,1577
Vuren,51.8244,5.04667,1575
Eastermar,53.1747,6.05861,1575
Oranjewoud,52.9458,5.95111,1570
Colijnsplaat,51.5986,3.84806,1563
Warga,53.2519,5.81361,1560
Velddriel,51.7667,5.3,1547
Oldeboorn,53.0483,5.89444,1545
Vreeland,52.2297,5.03111,1530
Werkhoven,52.0239,5.24306,1528
Nijkerkerveen,52.195,5.46667,1528
Bredevoort,51.95,6.61667,1525
Nederhemert,51.7628,5.16167,1518
Tijnje,53.0297,5.99111,1510
Zoutelande,51.5014,3.48472,1509
Graft,52.5667,4.83333,1500
Dom,51.5625,3.49639,1490
Spierdijk,52.65,4.95,1480
Schelluinen,51.8425,4.92583,1480
Meliskerke,51.5153,3.51194,1478
Biezenmortel,51.625,5.17778,1465
Bakkeveen,53.0833,6.25,1465
Heerewaarden,51.8167,5.38333,1463
Marrum,53.3222,5.80139,1462
Hoogersmilde,52.9,6.4,1460
Borssele,51.4231,3.73528,1459
De Knipe,52.9686,5.97111,1455
Nieuwehorne,52.9503,6.05556,1450
Heiligerlee,53.155,7.0125,1440
Eext,53.0169,6.73389,1438
Bangert,52.736,5.17808,1430
