city_name,latitude,longitude,total_pop
Czarnowąsy,50.7167,17.9,3108
Zabrzeg,49.9144,18.9456,3107
Malczyce,51.2206,16.4936,3100
Dobra,49.7139,20.2528,3100
Tokarnia,49.7311,19.8836,3100
Wolica Piaskowa,50.0833,21.7167,3100
Domaradz,49.7869,21.9467,3100
Werbkowice,50.75,23.7667,3098
Szówsko,50.05,22.7167,3096
Turza Śląska,49.9833,18.4333,3094
Jeleniewo,54.2058,22.9128,3092
Trzebownisko,50.0833,22.05,3082
Syrynia,50.0167,18.35,3074
Szymbark,49.6192,21.0969,3067
Kurzętnik,53.3992,19.5769,3065
Rzyki,49.8167,19.3833,3052
Piaski,51.8853,17.0742,3040
Rudzica,49.8547,18.8877,3036
Lisia Góra,50.0867,21.0211,3019
,50.7567,22.1017,3010
Zaklików,50.7567,22.1017,3010
Zaklików,50.7567,22.1017,3010
Kaczyce,49.8343,18.5917,3008
Ptaszkowa,49.6019,20.8858,3004
Lututów,51.3719,18.4336,3000
Tworków,50.0,18.2333,3000
Kozłowo,53.3067,20.2878,3000
Ksawerów,51.6822,19.4028,3000
Rudnik,49.8519,19.8539,3000
Szynwałd,49.9414,21.1181,3000
Jagodniki,52.7,23.5,3000
Trzęsówka,50.2833,21.6833,3000
Prostki,53.6989,22.4328,3000
Przygodzice,51.5833,17.8333,3000
Wola Batorska,50.0667,20.2667,3000
Czyżowice,49.9833,18.4053,3000
Bielany Wrocławskie,51.0333,16.9667,3000
Bojano,54.4731,18.3844,3000
Lubcza,49.9,21.2667,3000
Jedlnia,51.45,21.35,3000
Krępa Słupska,54.4172,17.0572,3000
Cmolas,50.3,21.75,3000
Dziergowice,50.2383,18.2853,3000
Mysiadło,52.0978,21.0189,3000
Nagawczyna,50.05,21.45,3000
Chobienice,52.1667,15.9333,3000
Chróścice,50.7781,17.8128,3000
Grabownica Starzeńska,49.6667,22.0833,3000
Smętowo Graniczne,53.745,18.6842,3000
Grzęska,50.0667,22.4667,3000
Smolec,51.0833,16.8833,3000
Słońsk,52.5628,14.8061,3000
Święcany,49.7667,21.2833,3000
Wierzchosławice,50.0202,20.853,3000
Osielec,49.6833,19.7667,3000
Świlcza,50.0667,21.9167,3000
Staniątki,50.0167,20.2,3000
Sztutowo,54.3167,19.1833,2988
Piechcin,52.8203,18.0397,2987
Bukowina Tatrzańska,49.35,20.1167,2976
Zaczernie,50.1,22.0167,2965
Zagórze,50.0947,19.4039,2963
Włoszakowice,51.9333,16.3667,2960
Krosnowice,50.3869,16.6333,2954
Wielbark,53.3978,20.9461,2943
Wielbark,53.3978,20.9461,2943
Niemcz,53.1833,18.0333,2940
Bobrowniki,50.38,18.9947,2926
Kaniów,49.9333,19.0333,2926
Niechobrz,49.9814,21.8669,2926
Kamionka Wielka,49.5775,20.7861,2925
Pilchowice,50.2153,18.5611,2919
Ryjewo,53.8442,18.9606,2914
Rogów,49.9897,18.3514,2905
Konopiska,50.7256,19.0083,2901
Czudec,49.9456,21.8381,2900
Zembrzyce,49.7833,19.6,2900
Borzęcin,50.0758,20.7056,2900
Bystra Podhalańska,49.6333,19.7667,2900
Piasek,50.0167,18.95,2900
Stróża,49.7936,19.9097,2900
Albigowa,50.0167,22.2333,2900
Gródek,53.0967,23.6567,2900
Comprachtschütz,50.6358,17.8233,2900
Komprachcice,50.6358,17.8233,2900
Odrzykoń,49.75,21.75,2900
Lipnica Mała,49.5108,19.6372,2900
Łagiewniki,50.7911,16.8442,2900
Trawniki,51.1319,23.0025,2893
Malawa,50.0306,22.0997,2850
Łęgowo,54.2258,18.6425,2850
Sonina,50.0622,22.27,2836
Przechlewo,53.8003,17.2531,2826
Jawornik,49.8603,19.895,2822
Kamesznica,49.5647,19.0206,2806
Kłomnice,50.9167,19.35,2802
Radłów,50.0833,20.85,2800
Iłowo-Osada,53.1669,20.2931,2800
Brzeźnica,50.1006,21.4814,2800
Psary,50.3797,19.1139,2800
Rudy,50.1833,18.45,2800
Medyka,49.8042,22.9319,2800
Radziszów,49.9333,19.8167,2800
Blizne,49.7511,21.9747,2800
Łambinowice,50.5333,17.55,2800
Głogoczów,49.8969,19.8758,2800
Łętownia,49.8308,19.8703,2800
Kasina Wielka,49.7211,20.1386,2800
Niewiadów,51.6178,19.9086,2800
Mirostowice Dolne,51.5667,15.15,2800
Frydrychowice,49.9167,19.4333,2799
Skopanie,50.4667,21.5667,2796
Boronów,50.6667,18.9,2793
Międzylesie,52.8133,17.4628,2766
Rogoźnik,50.3895,19.0415,2753
Czernikowo,52.95,18.9333,2752
Kwilcz,52.5536,16.0847,2746
Kaczory,53.1,16.8833,2743
Sławatycze,51.75,23.55,2738
Dopiewo,52.3667,16.6833,2733
